sessionID,stationID,siteID,connectionTime,doneChargingTime,disconnectTime,kWhDelivered,charging_duration_minutes,connection_duration_minutes,charging_date,hour,day_of_week,month
2_39_78_362_2018-04-25 11:08:04.400812,2-39-78-362,0002,2018-04-25T11:08:04.000+05:30,2018-04-25T13:21:10.000+05:30,2018-04-25T13:20:10.000+05:30,7.932,133.1,132.1,2018-04-25,11,4,4
2_39_95_27_2018-04-25 13:45:09.617470,2-39-95-27,0002,2018-04-25T13:45:10.000+05:30,2018-04-25T16:44:15.000+05:30,2018-04-26T00:56:16.000+05:30,10.013,179.08333333333334,671.1,2018-04-25,13,4,4
2_39_79_380_2018-04-25 13:45:49.962001,2-39-79-380,0002,2018-04-25T13:45:50.000+05:30,2018-04-25T14:51:44.000+05:30,2018-04-25T23:04:45.000+05:30,5.257,65.9,558.9166666666666,2018-04-25,13,4,4
2_39_79_379_2018-04-25 14:37:06.460772,2-39-79-379,0002,2018-04-25T14:37:06.000+05:30,2018-04-25T16:05:22.000+05:30,2018-04-25T23:55:34.000+05:30,5.177,88.26666666666667,558.4666666666667,2018-04-25,14,4,4
2_39_79_381_2018-04-25 14:40:33.638896,2-39-79-381,0002,2018-04-25T14:40:34.000+05:30,2018-04-25T17:40:30.000+05:30,2018-04-25T23:03:12.000+05:30,10.119,179.93333333333334,502.6333333333333,2018-04-25,14,4,4
2_39_139_28_2018-04-25 14:43:49.647430,2-39-139-28,0002,2018-04-25T14:43:50.000+05:30,2018-04-25T16:18:28.000+05:30,2018-04-26T01:17:30.000+05:30,7.91,94.63333333333334,633.6666666666666,2018-04-25,14,4,4
2_39_91_441_2018-04-25 14:47:41.776352,2-39-91-441,0002,2018-04-25T14:47:42.000+05:30,2018-04-25T18:27:42.000+05:30,2018-04-25T18:27:51.000+05:30,15.294,220.0,220.15,2018-04-25,14,4,4
2_39_79_377_2018-04-25 14:58:25.255583,2-39-79-377,0002,2018-04-25T14:58:25.000+05:30,2018-04-25T16:48:29.000+05:30,2018-04-25T19:06:29.000+05:30,6.953,110.06666666666666,248.06666666666666,2018-04-25,14,4,4
2_39_79_382_2018-04-25 15:10:51.871020,2-39-79-382,0002,2018-04-25T15:10:52.000+05:30,2018-04-25T16:07:56.000+05:30,2018-04-25T18:15:46.000+05:30,2.174,57.06666666666667,184.9,2018-04-25,15,4,4
2_39_78_362_2018-04-25 15:12:10.901351,2-39-78-362,0002,2018-04-25T15:12:11.000+05:30,2018-04-25T18:30:20.000+05:30,2018-04-25T18:29:21.000+05:30,2.439,198.15,197.16666666666666,2018-04-25,15,4,4
