stationID,session_count,total_kWh,avg_kWh_per_session,avg_connection_minutes
2-39-139-28,107,1031.297,9.638289719626169,336.6559190031154
2-39-138-29,90,663.8399999999997,7.375999999999997,225.53629629629629
2-39-129-17,85,688.99,8.105764705882352,285.0594117647059
2-39-127-19,85,656.0100000000001,7.717764705882354,264.26333333333326
2-39-131-30,79,730.073,9.241430379746836,493.75907172995784
2-39-79-380,76,657.6819999999998,8.653710526315786,348.95767543859654
2-39-123-23,76,627.6429999999998,8.258460526315787,314.8203947368422
2-39-79-377,73,711.1259999999996,9.741452054794516,420.9785388127854
2-39-79-379,72,714.377,9.921902777777778,567.0770833333333
2-39-125-21,69,568.8262144444444,8.243858180354266,278.88405797101456
2-39-89-25,66,575.2540000000002,8.715969696969701,447.5904040404039
2-39-78-365,64,602.7925558542432,9.41863368522255,369.43906250000015
2-39-91-437,64,883.1283661111111,13.79888072048611,460.9203125000001
2-39-78-367,64,464.73243279569846,7.261444262432788,330.0565104166666
2-39-79-378,63,507.70940222222197,8.05887940035273,654.3129629629631
2-39-78-366,62,630.8885791517312,10.17562224438276,401.66075268817207
2-39-88-24,62,653.9759999999999,10.547999999999998,311.5139784946237
2-39-95-27,59,739.9839999999999,12.542101694915253,525.9672316384181
2-39-124-22,56,457.1130000000001,8.162732142857145,290.9372023809525
2-39-79-376,55,534.2149999999999,9.713,500.0912121212121
2-39-128-18,54,349.2429999999999,6.467462962962961,242.30339506172834
2-39-92-436,52,439.52799999999996,8.452461538461538,286.63589743589745
2-39-79-381,52,484.44700000000006,9.316288461538463,398.16826923076917
2-39-92-442,49,369.497,7.540755102040817,351.50646258503394
2-39-78-360,48,382.8084324969987,7.975175677020807,397.67951388888883
2-39-90-26,48,373.8919999999999,7.789416666666664,311.76493055555557
2-39-79-383,47,519.3949999999999,11.050957446808507,471.18829787234046
2-39-130-31,46,389.95000000000005,8.47717391304348,237.28478260869562
2-39-91-441,46,394.515,8.57641304347826,367.95760869565214
2-39-138-566,46,479.6406625000001,10.426970923913045,442.58297101449267
2-39-90-440,45,390.38599999999997,8.675244444444443,335.595925925926
2-39-79-382,45,387.768,8.617066666666666,481.84296296296293
2-39-78-363,44,316.38347968936665,7.190533629303787,376.17007575757583
2-39-78-362,40,366.6982120668873,9.167455301672183,418.32541666666674
2-39-88-438,40,390.63300000000004,9.765825000000001,353.06708333333324
2-39-78-361,38,257.7694339904418,6.783406157643206,397.17368421052635
2-39-126-20,38,298.23100000000005,7.848184210526317,375.0429824561404
2-39-95-444,37,349.0000127777778,9.432432777777779,397.7180180180181
2-39-78-364,37,290.68509737158337,7.856353983015767,449.64549549549554
2-39-123-557,37,304.72700000000003,8.235864864864865,411.2518018018018
2-39-89-439,33,410.15200000000004,12.428848484848487,432.25757575757564
2-39-130-564,23,193.791,8.425695652173912,379.040579710145
2-39-139-567,22,206.78599999999997,9.399363636363635,348.3674242424242
2-39-127-561,22,152.433,6.928772727272727,340.87121212121207
2-39-129-563,15,145.99800000000002,9.733200000000002,435.77666666666664
2-39-128-562,15,107.644,7.176266666666667,369.3377777777778
2-39-131-565,13,116.37299999999999,8.95176923076923,355.7897435897436
2-39-83-386,13,93.352,7.180923076923078,376.72051282051285
2-39-126-560,11,73.319,6.665363636363637,393.44848484848484
2-39-125-559,7,28.240000000000002,4.034285714285715,214.7404761904762
2-39-124-558,7,67.298,9.614,489.15000000000003
2-39-83-387,2,9.187000000000001,4.593500000000001,708.4
